epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,0.10906250029802322,,2.3021581172943115,,
0,99,,0.14531250298023224,,2.2697842121124268,,
0,149,,0.1484375,,2.269227981567383,,
0,199,,0.1521874964237213,,2.2592592239379883,,
0,218,0.13611142337322235,,2.290637969970703,,,
1,249,,0.14906249940395355,,2.258502244949341,,
1,299,,0.1537500023841858,,2.2617626190185547,,
1,349,,0.14687499403953552,,2.2666783332824707,,
1,399,,0.15156249701976776,,2.262397050857544,,
1,437,0.15069571137428284,,2.259453296661377,,,
2,449,,0.1509374976158142,,2.25734806060791,,
2,499,,0.14656250178813934,,2.258913516998291,,
2,549,,0.14687499403953552,,2.2532453536987305,,
2,599,,0.1525000035762787,,2.2629458904266357,,
2,649,,0.1484375,,2.2544493675231934,,
2,656,0.15128570795059204,,2.2578036785125732,,,
3,699,,0.1509374976158142,,2.2570605278015137,,
3,749,,0.15531249344348907,,2.257478952407837,,
3,799,,0.15312500298023224,,2.25319766998291,,
3,849,,0.1525000035762787,,2.253340721130371,,
3,875,0.15142285823822021,,2.2572102546691895,,,
4,899,,0.1525000035762787,,2.255758762359619,,
4,949,,0.14562499523162842,,2.2659730911254883,,
4,999,,0.1525000035762787,,2.2580437660217285,,
4,1049,,0.14218749105930328,,2.2617762088775635,,
4,1094,,,,,0.15114285051822662,2.2566299438476562
4,1094,0.15175428986549377,,2.2569563388824463,,,
5,1099,,0.1512499898672104,,2.262939691543579,,
5,1149,,0.1525000035762787,,2.2594470977783203,,
5,1199,,0.14562499523162842,,2.2555811405181885,,
5,1249,,0.14562499523162842,,2.2651920318603516,,
5,1299,,0.15187498927116394,,2.249375581741333,,
5,1313,0.1515042930841446,,2.256800651550293,,,
6,1349,,0.15031249821186066,,2.255619764328003,,
6,1399,,0.15156249701976776,,2.259456157684326,,
6,1449,,0.1471875011920929,,2.2596993446350098,,
6,1499,,0.15656249225139618,,2.2557144165039062,,
6,1532,0.15166714787483215,,2.2567384243011475,,,
7,1549,,0.1512499898672104,,2.2604057788848877,,
7,1599,,0.15187498927116394,,2.2591586112976074,,
7,1649,,0.1587499976158142,,2.24880051612854,,
7,1699,,0.1525000035762787,,2.2560224533081055,,
7,1749,,0.15062499046325684,,2.255887985229492,,
7,1751,0.1517171412706375,,2.256641149520874,,,
8,1799,,0.1525000035762787,,2.2604639530181885,,
8,1849,,0.14937499165534973,,2.259462594985962,,
8,1899,,0.15468749403953552,,2.256425380706787,,
8,1949,,0.15281249582767487,,2.256187677383423,,
8,1970,0.15170714259147644,,2.256601095199585,,,
9,1999,,0.1484375,,2.25797963142395,,
9,2049,,0.14687499403953552,,2.2600982189178467,,
9,2099,,0.15687499940395355,,2.255621910095215,,
9,2149,,0.15593749284744263,,2.2518649101257324,,
9,2189,,,,,0.1502285748720169,2.256513833999634
9,2189,0.15189428627490997,,2.256598949432373,,,
10,2199,,0.15656249225139618,,2.2458014488220215,,
10,2249,,0.15437500178813934,,2.2503647804260254,,
10,2299,,0.13968749344348907,,2.262650489807129,,
10,2349,,0.15656249225139618,,2.260230302810669,,
10,2399,,0.14656250178813934,,2.260622501373291,,
10,2408,0.15168428421020508,,2.2565348148345947,,,
11,2449,,0.1603125035762787,,2.252317428588867,,
11,2499,,0.15625,,2.255730628967285,,
11,2549,,0.14874999225139618,,2.252216100692749,,
11,2599,,0.15031249821186066,,2.2586450576782227,,
11,2627,0.1518128514289856,,2.256436586380005,,,
12,2649,,0.14624999463558197,,2.252796173095703,,
12,2699,,0.15781249105930328,,2.2537527084350586,,
12,2749,,0.16124999523162842,,2.2442820072174072,,
12,2799,,0.15937499701976776,,2.2454943656921387,,
12,2846,0.15523286163806915,,2.248574733734131,,,
13,2849,,0.16468749940395355,,2.2296974658966064,,
13,2899,,0.15781249105930328,,2.2326974868774414,,
13,2949,,0.1550000011920929,,2.2387468814849854,,
13,2999,,0.1665624976158142,,2.234884738922119,,
13,3049,,0.1681250035762787,,2.2273898124694824,,
13,3065,0.16187000274658203,,2.228278636932373,,,
14,3099,,0.16593749821186066,,2.2242705821990967,,
14,3149,,0.17000000178813934,,2.2004659175872803,,
14,3199,,0.1693750023841858,,2.202366828918457,,
14,3249,,0.17406249046325684,,2.2047133445739746,,
14,3284,,,,,0.17181429266929626,2.201864242553711
14,3284,0.1689842790365219,,2.211185932159424,,,
15,3299,,0.17499999701976776,,2.199662446975708,,
15,3349,,0.1665624976158142,,2.2159337997436523,,
15,3399,,0.17031249403953552,,2.2019546031951904,,
15,3449,,0.1706250011920929,,2.1976335048675537,,
15,3499,,0.18062499165534973,,2.190798282623291,,
15,3503,0.17294570803642273,,2.199796199798584,,,
16,3549,,0.17031249403953552,,2.1933035850524902,,
16,3599,,0.17000000178813934,,2.2078628540039062,,
16,3649,,0.17531248927116394,,2.1923840045928955,,
16,3699,,0.16906249523162842,,2.1997389793395996,,
16,3722,0.17581428587436676,,2.1928348541259766,,,
17,3749,,0.17812499403953552,,2.1840906143188477,,
17,3799,,0.17531248927116394,,2.1903085708618164,,
17,3849,,0.17874999344348907,,2.1890273094177246,,
17,3899,,0.16906249523162842,,2.1901278495788574,,
17,3941,0.17671428620815277,,2.1890368461608887,,,
18,3949,,0.17218749225139618,,2.189760446548462,,
18,3999,,0.1796875,,2.1819002628326416,,
18,4049,,0.1796875,,2.1885340213775635,,
18,4099,,0.18562500178813934,,2.1818747520446777,,
18,4149,,0.17937499284744263,,2.1873655319213867,,
18,4160,0.17834143340587616,,2.185386896133423,,,
19,4199,,0.1756249964237213,,2.182609796524048,,
19,4249,,0.17499999701976776,,2.184027671813965,,
19,4299,,0.18031249940395355,,2.1773247718811035,,
19,4349,,0.18156249821186066,,2.1816670894622803,,
19,4379,,,,,0.17754285037517548,2.1823394298553467
19,4379,0.17887285351753235,,2.183201313018799,,,
20,4399,,0.17906250059604645,,2.180048942565918,,
20,4449,,0.18187499046325684,,2.1807045936584473,,
20,4499,,0.1887499988079071,,2.1826424598693848,,
20,4549,,0.1809374988079071,,2.1731197834014893,,
20,4598,0.1792600005865097,,2.181979179382324,,,
21,4599,,0.18187499046325684,,2.183539390563965,,
21,4649,,0.17406249046325684,,2.1881275177001953,,
21,4699,,0.18124999105930328,,2.1847708225250244,,
21,4749,,0.17937499284744263,,2.1814208030700684,,
21,4799,,0.17343749105930328,,2.1879775524139404,,
21,4817,0.17922428250312805,,2.182886838912964,,,
22,4849,,0.18406249582767487,,2.185471534729004,,
22,4899,,0.16875000298023224,,2.183495044708252,,
22,4949,,0.18187499046325684,,2.186307430267334,,
22,4999,,0.1771875023841858,,2.194089412689209,,
22,5036,0.17955142259597778,,2.183107614517212,,,
23,5049,,0.18187499046325684,,2.187577247619629,,
23,5099,,0.17937499284744263,,2.1812632083892822,,
23,5149,,0.17343749105930328,,2.1844794750213623,,
23,5199,,0.1771875023841858,,2.183617353439331,,
23,5249,,0.1796875,,2.1762442588806152,,
23,5255,0.180732861161232,,2.1794557571411133,,,
24,5299,,0.17531248927116394,,2.179445505142212,,
24,5349,,0.17749999463558197,,2.1787941455841064,,
24,5399,,0.1821874976158142,,2.172053813934326,,
24,5449,,0.1746874898672104,,2.1829025745391846,,
24,5474,,,,,0.1794428527355194,2.1793246269226074
24,5474,0.18169714510440826,,2.176644802093506,,,
25,5499,,0.18937499821186066,,2.179295063018799,,
25,5549,,0.18781249225139618,,2.160156488418579,,
25,5599,,0.1862500011920929,,2.1672301292419434,,
25,5649,,0.18531249463558197,,2.173563003540039,,
25,5693,0.18321429193019867,,2.174365758895874,,,
26,5699,,0.18656249344348907,,2.17460560798645,,
26,5749,,0.1771875023841858,,2.173717975616455,,
26,5799,,0.17624999582767487,,2.1811177730560303,,
26,5849,,0.17906250059604645,,2.1845102310180664,,
26,5899,,0.1824999898672104,,2.1790878772735596,,
26,5912,0.18328285217285156,,2.1748974323272705,,,
27,5949,,0.17906250059604645,,2.1747677326202393,,
27,5999,,0.18937499821186066,,2.1703498363494873,,
27,6049,,0.18187499046325684,,2.183267116546631,,
27,6099,,0.18906249105930328,,2.163525342941284,,
27,6131,0.18377000093460083,,2.173635482788086,,,
28,6149,,0.1887499988079071,,2.1637701988220215,,
28,6199,,0.18906249105930328,,2.167754650115967,,
28,6249,,0.1940625011920929,,2.1640520095825195,,
28,6299,,0.19093748927116394,,2.165778160095215,,
28,6349,,0.18312498927116394,,2.1716814041137695,,
28,6350,0.18478286266326904,,2.1695098876953125,,,
29,6399,,0.1756249964237213,,2.168565034866333,,
29,6449,,0.18437500298023224,,2.1668026447296143,,
29,6499,,0.1824999898672104,,2.1746327877044678,,
29,6549,,0.18843749165534973,,2.1680805683135986,,
29,6569,,,,,0.17994286119937897,2.1781768798828125
29,6569,0.1858585774898529,,2.168639898300171,,,
30,6599,,0.18531249463558197,,2.1699411869049072,,
30,6649,,0.19218750298023224,,2.1641249656677246,,
30,6699,,0.1915624886751175,,2.1623358726501465,,
30,6749,,0.19843749701976776,,2.155280828475952,,
30,6788,0.18830999732017517,,2.1633007526397705,,,
31,6799,,0.1928125023841858,,2.154226779937744,,
31,6849,,0.19437499344348907,,2.151005983352661,,
31,6899,,0.20125000178813934,,2.147427558898926,,
31,6949,,0.1903124898672104,,2.1508290767669678,,
31,6999,,0.1953125,,2.140084743499756,,
31,7007,0.1935371458530426,,2.1496684551239014,,,
32,7049,,0.19437499344348907,,2.152838945388794,,
32,7099,,0.19749999046325684,,2.143760919570923,,
32,7149,,0.19843749701976776,,2.1340882778167725,,
32,7199,,0.1993749886751175,,2.1421561241149902,,
32,7226,0.1976914256811142,,2.143345355987549,,,
33,7249,,0.2043749988079071,,2.1309561729431152,,
33,7299,,0.2096875011920929,,2.1262636184692383,,
33,7349,,0.1965624988079071,,2.1350579261779785,,
33,7399,,0.19218750298023224,,2.1555898189544678,,
33,7445,0.2015371471643448,,2.134011745452881,,,
34,7449,,0.20656248927116394,,2.131375789642334,,
34,7499,,0.2059374898672104,,2.1257128715515137,,
34,7549,,0.21937499940395355,,2.11409068107605,,
34,7599,,0.21031250059604645,,2.116562604904175,,
34,7649,,0.22624999284744263,,2.103118658065796,,
34,7664,,,,,0.20884285867214203,2.1155896186828613
34,7664,0.20884285867214203,,2.1198227405548096,,,
35,7699,,0.22374999523162842,,2.0781235694885254,,
35,7749,,0.24124999344348907,,2.061427116394043,,
35,7799,,0.2381249964237213,,2.0567314624786377,,
35,7849,,0.24031250178813934,,2.030789375305176,,
35,7883,0.23350000381469727,,2.0639002323150635,,,
36,7899,,0.2409375011920929,,2.027977705001831,,
36,7949,,0.26874998211860657,,1.9708055257797241,,
36,7999,,0.2815625071525574,,1.9410548210144043,,
